location,x,y,z,yaw,pitch,roll,Distance To Packoff,Distance To SPH
BufferA(1),-621.9794,295.3955,1411.701,-45.48594,90.0,180.0,1752.047361716114,1501.2346403713725
BufferA(2),-534.0672,380.2378,1411.701,-44.67049,90.0,180.0,1723.1578408471019,1468.660305262855
BufferA(3),-461.9742,450.217,1411.701,-48.0377,90.0,180.0,1705.7747809094392,1449.156208523975
BufferA(4),-373.3145,538.9666,1411.7,-46.23582,90.0,180.0,1693.3672003396475,1434.9872364381713
BufferA(5),-292.3273,616.892,1411.7,-47.59462,90.0,180.0,1688.7675524494828,1430.7944712762726
BufferA(6),-619.5641,297.1499,1346.453,-44.9421,90.0,180.0,1701.1538420429254,1441.8627445248685
BufferA(7),-548.4133,366.069,1346.453,-48.78137,90.0,180.0,1676.6597502640707,1413.8603038134524
BufferA(8),-460.2126,453.7114,1346.454,-47.42688,90.0,180.0,1654.7888448253225,1388.4974646779756
BufferA(9),-367.0335,544.487,1345.312,-44.67104,90.0,180.0,1640.0141609972445,1372.0398568006763
BufferA(10),-288.944,623.0406,1346.453,-45.82502,90.0,180.0,1638.2638761778414,1370.2604308255384
BufferA(11),-619.4368,299.4288,1279.081,-44.31746,90.0,180.0,1651.2714284585334,1382.2561050927422
BufferA(12),-534.2885,380.9742,1279.085,-44.17819,90.0,180.0,1621.572494694004,1348.125057983472
BufferA(13),-457.3839,456.3731,1279.085,-46.3155,90.0,180.0,1602.3566703457147,1325.823478716618
BufferA(14),-373.3723,538.0702,1279.085,-46.29843,90.0,180.0,1589.1900648910112,1311.0365324274942
BufferA(15),-287.3754,625.5564,1279.085,-45.16154,90.0,180.0,1586.3694304441717,1307.7019854446403
BufferA(16),-618.074,291.8738,1214.246,-45.08263,90.0,180.0,1601.240181919916,1324.7835409416703
BufferA(17),-537.3485,375.9141,1214.242,-45.26725,90.0,180.0,1573.7144092458218,1290.9066181001979
BufferA(18),-448.1947,465.1143,1209.849,-43.19696,90.0,180.0,1548.348927705705,1260.4083939999932
BufferA(19),-375.7605,538.8641,1211.372,-46.31354,90.0,180.0,1539.426045372861,1249.483901527831
BufferA(20),-298.115,615.6523,1213.091,-47.98276,90.0,180.0,1536.544553939545,1246.667226614328
BufferA(21),-623.54,296.4836,1146.783,-45.11934,90.0,180.0,1558.1482841066334,1269.5677858830343
BufferA(22),-547.4941,370.3625,1146.779,-47.42277,90.0,180.0,1529.579745084932,1235.4705743086342
BufferA(23),-458.8593,457.2942,1146.49,-46.09121,90.0,180.0,1505.1499849736888,1206.1917324895028
BufferA(24),-376.4991,538.2429,1146.489,-46.3542,90.0,180.0,1491.649544404424,1190.2823361096753
BufferA(25),-297.7416,615.5351,1146.489,-47.81066,90.0,180.0,1486.98121921123,1185.4040023532382
BufferA(26),-619.3275,301.5752,1081.143,-43.7759,90.0,180.0,1511.5570116406116,1211.8875641309057
BufferA(27),-542.6526,375.7455,1081.135,-46.04388,90.0,180.0,1482.243988569006,1176.4237061458919
BufferA(28),-457.0727,460.0107,1080.389,-45.39676,90.0,180.0,1458.1286603644705,1146.8999992457764
BufferA(29),-369.5963,545.5139,1080.389,-44.26457,90.0,180.0,1443.6807528677127,1129.7276383145709
BufferA(30),-289.7859,623.9713,1080.389,-45.32552,90.0,180.0,1439.694656392808,1125.628513655386
BufferA(31),-622.0472,298.7417,1013.716,-44.46772,90.0,180.0,1467.9991261410464,1157.3352148304189
BufferA(32),-539.2131,380.4407,1013.716,-44.70028,90.0,180.0,1435.908510062325,1117.304565746308
BufferA(33),-456.9666,460.7487,1013.716,-45.17733,90.0,180.0,1412.5065137458855,1088.3169586586234
BufferA(34),-378.2136,537.8483,1013.715,-46.7662,90.0,180.0,1398.7041697253767,1071.4889402923932
BufferA(35),-286.218,628.4201,1013.675,-44.08979,90.0,180.0,1393.728778655817,1066.154702842988
BufferA(36),-618.2084,301.7372,947.7476,-43.37289,90.0,180.0,1424.0761617282967,1101.6206166420661
BufferA(37),-541.3496,379.0608,947.7469,-45.03668,90.0,180.0,1393.9608766341053,1062.802391088618
BufferA(38),-460.7654,457.8965,947.7473,-45.91367,90.0,180.0,1370.0957878421498,1032.540487521826
BufferA(39),-376.4457,541.1657,947.7476,-45.74517,90.0,180.0,1355.1222870755973,1013.6205686870774
BufferA(40),-296.4396,619.7577,947.7476,-46.76936,90.0,180.0,1350.1859327057248,1008.1514417928827
BufferA(41),-619.581,302.3528,880.8623,-43.45325,90.0,180.0,1384.5826222534831,1049.585603292726
BufferA(42),-535.3789,381.7043,880.8409,-43.65578,90.0,180.0,1349.0542879936759,1004.7057148901224
BufferA(43),-461.3581,454.8402,880.8216,-46.53282,90.0,180.0,1326.8173316836073,975.5715742181646
BufferA(44),-379.5654,537.2621,880.8171,-46.81258,90.0,180.0,1312.2362651697056,956.0651918526613
BufferA(45),-283.9272,628.3528,880.8338,-43.59011,90.0,180.0,1305.1608009594763,948.9034848162368
BufferA(46),-620.7471,300.1277,815.5436,-43.54133,90.0,180.0,1347.119320243978,1000.2706881887212
BufferA(47),-539.1852,380.9903,815.2861,-44.23264,90.0,180.0,1312.7147978600444,954.3694918778125
BufferA(48),-456.0698,462.0753,815.3277,-44.48711,90.0,180.0,1286.885493601808,920.0434191742486
BufferA(49),-373.7853,544.1345,814.3292,-44.67239,90.0,180.0,1271.5745967148564,899.3112511738536
BufferA(50),-292.1183,624.3112,814.8834,-45.27765,90.0,180.0,1266.9711520019482,894.119827058519
BufferA(51),-626.1563,297.0291,748.0042,-44.7345,90.0,180.0,1313.783736126928,954.2149612758972
BufferA(52),-537.5931,384.0261,747.6696,-43.49557,90.0,180.0,1274.976080539442,901.447887292093
BufferA(53),-459.159,460.9132,747.6777,-45.00281,90.0,180.0,1250.0264183126449,867.1689618695101
BufferA(54),-372.994,544.8976,747.6774,-44.38171,90.0,180.0,1233.0990241926288,844.3420388025211
BufferA(55),-292.4161,625.539,747.6771,-45.11263,90.0,180.0,1229.0190325798203,839.0899931409848
BufferA(56),-624.4204,299.6118,682.2938,-44.06422,90.0,180.0,1279.9946683877952,907.0620505176644
BufferA(57),-537.4885,383.6058,682.2908,-43.34911,90.0,180.0,1240.6928889297913,852.7807887144714
BufferA(58),-456.6969,463.9232,682.2795,-43.99351,90.0,180.0,1214.9052591223917,815.7937106621955
BufferA(59),-372.8987,546.2063,681.0045,-44.03865,90.0,180.0,1197.8464537613809,791.7078369273554
BufferA(60),-300.3556,617.6983,681.0003,-47.27801,90.0,180.0,1192.9898435458877,785.5573764345937
BufferA(61),-628.8609,295.8696,616.3886,-45.06918,90.0,180.0,1251.7970265943945,866.754863228627
BufferA(62),-550.0865,373.1732,616.3851,-46.62413,90.0,180.0,1214.844393317135,813.9012920027353
BufferA(63),-466.7173,454.612,616.3857,-46.76436,90.0,180.0,1185.5396436982737,771.2502558885035
BufferA(64),-377.1541,541.5433,615.57,-45.24513,90.0,180.0,1165.5793451648008,742.4672011486743
BufferA(65),-291.606,627.2037,615.5692,-44.38652,90.0,180.0,1160.8360047720003,735.8446285340705
BufferA(66),-624.5153,301.3603,549.7764,-43.61695,90.0,180.0,1221.7387375414492,822.5661875271472
BufferA(67),-541.494,381.5225,548.8694,-44.04574,90.0,180.0,1181.835788626205,764.2863099353984
BufferA(68),-455.7934,464.2859,548.9001,-43.69507,90.0,180.0,1151.795775603148,719.4111255176598
